"パラメータ名","日本語名","型","最大値","最小値","初期値","意味"
"Kp","Pゲイン(比例)","float","(制御対象による)","(制御対象による)","1.0","偏差に比例して操作量を決定する係数"
"Ki","Iゲイン(積分)","float","(制御対象による)","(制御対象による)","0.0","偏差の蓄積量に応じて操作量を決定する係数"
"Kd","Dゲイン(微分)","float","(制御対象による)","(制御対象による)","0.0","偏差の変化率に応じて操作量を決定する係数"
"setpoint","目標値","float","(制御対象による)","(制御対象による)","0","制御が目zすべき目標の値"
"sample_time","サンプル時間","float","(制御対象による)","0より大きい値","0.01","制御計算を行う時間間隔（秒）"
"output_limits","出力制限","(float, float)","タプル内の2番目の値","タプル内の1番目の値","(None, None)","操作量の最小値と最大値のタプル。Noneは制限なし"
"auto_mode","自動モード","bool","True","False","True","Trueで制御有効、Falseで無効"
"proportional_on_measurement","P on Measurement","bool","True","False","False","(高度な設定) Pゲインを偏差ではなく入力値の変化に適用するモード。オーバーシュート抑制に使う"
"differential_on_measurement","D on Measurement","bool","True","False","True","(高度な設定) Dゲインを偏差ではなく入力値の変化に適用するモード。ノイズに強い"
"error_map","エラーマップ関数","callable","該当なし","該当なし","None","(高度な設定) 偏差値を別の値に変換するためのカスタム関数"
"time_fn","時間関数","callable","該当なし","該当なし","None","(高度な設定) 現在時刻を取得するためのカスタム関数。デフォルトは time.monotonic"
"starting_output","初期出力","float","(制御対象による)","(制御対象による)","0.0","(高度な設定) 手動から自動モードへ切り替える際の、PIDの初期出力値"
