"種別","パラメータ名 / キー名","日本語名","型","設定例","初期値 / デフォルト","意味"
"Machine初期化","model","モデル","object","'self'","None","状態を持たせたいオブジェクト自体"
"Machine初期化","states","状態リスト","list","['S1', 'S2']","[]","システムが取りうる全ての状態名のリスト"
"Machine初期化","transitions","遷移リスト","list","[{'trigger': 'E1', ...}]","[]","状態遷移のルールを定義した辞書のリスト"
"Machine初期化","initial","初期状態","str","'S1'","None","マシンが最初にいる状態の名前"
"Machine初期化","auto_transitions","自動遷移","bool","False","True","to_状態名()というメソッドで直接遷移できるか。通常はFalseでトリガーを使うのが一般的"
"Machine初期化","queued","キュー機能","bool / str","True","False","イベントを順番に処理するキューを有効にするか"
"遷移ルール","trigger","トリガー","str","'E2'","(必須)","この遷移を引き起こすイベント（きっかけ）の名前。メソッド名になる"
"遷移ルール","source","遷移元状態","str / list","'S1'","(必須)","このトリガーが有効になる状態。'*'は全ての状態が対象"
"遷移ルール","dest","遷移先状態","str","'S4'","(必須)","トリガーが実行された後に移る状態"
"遷移ルール","conditions","条件","str / list","'is_hot'","None","遷移を実行するための追加条件（ガード条件）。Trueを返すメソッド名を指定"
"遷移ルール","before","事前コールバック","str / list","'log_entry'","None","状態が遷移する前に実行される処理（メソッド名）"
"遷移ルール","after","事後コールバック","str / list","'update_display'","None","状態が遷移した後に実行される処理（メソッド名）"
